x,y,z
-99, 139, 15
-82, 99, 5
-85, 96, -23
-77, 86, -12
-90, 94, -14
-105, 88, -4
-116, 91, -9
-108, 91, -13
-172, 79, -3
-167, 56, 0
-181, 99, 2
-148, 64, -15
-119, 26, -26
-104, 4, -13
-123, 18, 7
-135, 51, 4
-132, 30, -8
-131, 49, -1
-119, 46, -3
-111, 32, 0
-150, 48, 5
-136, 51, -2
-125, 68, -18
-130, 56, 8
-132, 68, 20
-125, 64, 15
-127, 56, 5
-127, 55, -1
-123, 60, 1
-121, 50, 15
-126, 52, 12
-128, 48, 4
-125, 44, 4
-126, 47, 7
-127, 51, 2
-127, 55, 2
-126, 59, 8
-125, 56, 11
-126, 58, 8
-126, 55, 3
-127, 53, 2
-125, 59, 9
-124, 57, 11
-127, 58, 8
-127, 53, 4
-125, 52, 2
-127, 49, 5
-124, 50, 4
-122, 52, 7
-126, 54, 6
-127, 54, 6
-125, 53, 4
-125, 52, 5
-124, 54, 5
-125, 55, 7
-126, 57, 9
-125, 55, 7
-127, 53, 6
-125, 56, 4
-123, 59, 5
-124, 60, 8
-126, 57, 4
-126, 56, 1
-126, 55, -1
-126, 56, 0
-125, 53, 7
-126, 51, 6
-128, 51, 3
-126, 49, 3
-125, 52, 5
-124, 59, 3
-129, 86, 1
-130, 104, -3
-119, 94, -6
-103, 111, -9
-90, 103, -12
-79, 115, -11
-81, 132, -5
-75, 132, 6
-66, 149, 2
-60, 139, 4
-37, 134, 26
-17, 159, 42
6, 127, 73
14, 123, 66
10, 107, 74
-13, 65, 58
-7, 59, 84
-14, 55, 79
-35, 28, 44
-67, 43, 95
-61, 25, 89
-67, 0, 101
-74, -21, 116
-66, -3, 109
-66, 9, 110
-53, -17, 105
-47, -25, 107
-48, -25, 108
-19, -46, 85
-1, 23, 22
-8, 16, 117
-1, 11, 112
0, 10, 111
0, 11, 111
0, 11, 112
0, 10, 111
0, 11, 111
0, 11, 111
0, 11, 111
0, 11, 112
0, 11, 111
0, 11, 111
0, 11, 111
